scenario,method,e2e_p95_ms,preprocess_p95_ms,throughput_jobs_per_s,migration_count,unnecessary_migration_count,net_gain_mean_ms
normal,static,14643,5142,0.068871,0,0,
normal,always-offload,12617,4125,0.081237,5,5,
normal,threshold,14610,5143,0.06989,0,0,
normal,selective,12620,4124,0.079858,5,5,1131.345
normal,runtime,12635,4126,0.081153,5,5,2068.148
mild-burst,static,13589,5129,0.061548,0,0,
mild-burst,always-offload,13643,4122,0.064593,5,5,
mild-burst,threshold,14618,5140,0.059117,0,0,
mild-burst,selective,14602,6121,0.058403,2,2,980.193
mild-burst,runtime,11648,4127,0.069005,5,5,1567.201
heavy-burst,static,14554,5130,0.060915,0,0,
heavy-burst,always-offload,13617,4111,0.062983,5,0,
heavy-burst,threshold,12624,4119,0.068063,5,0,
heavy-burst,selective,13659,4128,0.063566,5,0,1978.546
heavy-burst,runtime,12663,4146,0.06611,5,0,1975.93
sustained-overload,static,13619,6135,0.071981,0,0,
sustained-overload,always-offload,12639,4130,0.078754,5,0,
sustained-overload,threshold,12659,4133,0.078555,5,0,
sustained-overload,selective,13614,4126,0.075054,5,0,2074.373
sustained-overload,runtime,12646,4118,0.082428,5,0,2212.098
