actual_e2e_ms,block,client_latency_ms,completed_timestamp,concurrency,condition_id,error,eval_count,excluded,inference_ms,model,node_id,node_state,queue_wait_ms,request_id,response,role,run_order,stage_seconds,status,target_node,timestamp,tokens_per_second,ttft_ms,within_block_order
568.766,0,580.783,1788503811.5732982,1,warmup,,8,True,568.744,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,0.022,02cfe736-6df2-4014-93f8-6995b1c04935,Edge computing reduces latency by processing data closer,nano,0,,ok,nano,1788503810.9925177,19.406,158.935,
317.251,0,323.513,1788503811.8969884,1,warmup,,8,True,317.233,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.018,d00faad5-5ce6-4c94-9069-05f3468ab5c3,Edge computing reduces latency by processing data closer,agx,0,,ok,agx,1788503811.5734768,43.808,134.049,
271.343,0,274.524,1788503812.1715446,1,warmup,,8,True,271.339,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,0.003,e0561592-6166-4a11-a11b-59308c89d6db,Edge computing reduces latency by processing data closer,spark,0,,ok,spark,1788503811.897024,46.174,95.999,
240.377,1,253.675,1788503812.430941,8,b01-o01-agx-c8,,8,False,240.36,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.017,721cc131-87c3-4e5e-a5f2-515143ec62f3,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788503812.177268,44.495,70.649,1
449.295,1,474.116,1788503812.6483161,8,b01-o01-agx-c8,,8,False,217.211,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,232.083,f07f2b6f-f56f-4b9d-a08d-83e3b902f5a0,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788503812.1742015,42.871,262.451,1
676.733,1,702.907,1788503812.879464,8,b01-o01-agx-c8,,8,False,231.068,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,445.664,6440898b-58ac-4463-ad42-ee3c135d89ac,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788503812.1765587,40.118,477.255,1
891.976,1,916.882,1788503813.0951009,8,b01-o01-agx-c8,,8,False,215.527,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,676.448,cc2aec31-9a94-4647-aef3-8802bc28592f,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788503812.1782205,43.201,706.68,1
1093.725,1,1123.48,1788503813.2987955,8,b01-o01-agx-c8,,8,False,203.645,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,890.08,eddd1676-bdca-43a1-8bfe-864db11abe74,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788503812.1753166,46.115,920.062,1
1304.937,1,1332.029,1788503813.5115535,8,b01-o01-agx-c8,,8,False,212.595,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1092.342,e3d0e392-9bfe-4b60-b736-41bc9192f2dc,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788503812.1795266,43.627,1121.326,1
1503.823,1,1535.477,1788503813.7164319,8,b01-o01-agx-c8,,8,False,204.781,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1299.042,afbc53c1-7e0e-4f14-88b0-6479f4061548,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788503812.1809561,45.085,1325.946,1
