actual_e2e_ms,block,client_latency_ms,completed_timestamp,concurrency,condition_id,eval_count,excluded,inference_ms,model,node_id,node_state,queue_wait_ms,request_id,response,role,run_order,stage_seconds,status,target_node,timestamp,tokens_per_second,ttft_ms,within_block_order
240.193,0,241.435,1788521584.840505,1,warmup,8,True,240.189,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.004,1f0f2993-ac13-4055-80b8-2823b7ef04e2,Edge computing reduces latency by processing data closer,agx,0,,ok,agx,1788521584.5990717,128.339,177.509,
202.578,1,205.728,1788521585.0474846,4,b01-o01-agx-c4,8,False,202.575,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.003,84d4c341-7ee5-43f7-a376-8ed1bbeebce1,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521584.8417592,277.951,173.296,1
427.208,1,430.763,1788521585.2720633,4,b01-o01-agx-c4,8,False,224.697,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,202.511,9bace2c4-fcd2-43cd-85ce-e91f74df4db6,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521584.8413022,264.857,396.956,1
612.786,1,615.715,1788521585.4578328,4,b01-o01-agx-c4,8,False,185.529,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,427.257,65112d26-e531-4435-822a-59775925c8e0,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521584.8421192,282.775,584.083,1
797.025,1,800.701,1788521585.642223,4,b01-o01-agx-c4,8,False,184.431,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,612.593,6bcdd3a0-d8c2-4180-a7d8-d9b84e22bee5,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521584.8415225,282.486,768.412,1
785.255,1,786.972,1788521585.8344872,4,b01-o01-agx-c4,8,False,192.02,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,593.235,a24bc339-b54c-4fca-8cc9-86901d39a120,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521585.0475168,280.053,756.503,1
748.042,1,749.724,1788521586.0218186,4,b01-o01-agx-c4,8,False,187.304,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,560.737,b90466c7-0c1e-40dd-804f-88bdb78888f0,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521585.2720962,282.745,719.404,1
759.427,1,761.019,1788521586.218883,4,b01-o01-agx-c4,8,False,196.942,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,562.485,dc1fb15d-7864-4cf0-ae88-1beef11bd61f,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521585.4578657,265.86,729.069,1
770.623,1,771.848,1788521586.4140916,4,b01-o01-agx-c4,8,False,195.287,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,575.335,fec1465e-ea3f-4f32-a86c-410039cbd23c,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521585.642244,273.271,741.265,1
766.061,1,767.368,1788521586.601885,4,b01-o01-agx-c4,8,False,187.818,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,578.242,a5fd1c79-cfcf-496a-b90e-251bef782ee5,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521585.8345177,279.232,737.043,1
769.906,1,771.396,1788521586.7932434,4,b01-o01-agx-c4,8,False,191.191,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,578.715,af888c1f-93c2-49e3-ac1b-4f7fbab6d384,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521586.0218475,282.496,741.312,1
772.52,1,774.127,1788521586.9930415,4,b01-o01-agx-c4,8,False,199.709,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,572.811,dba51c67-e2b3-4d20-a94a-e590c0326cdf,Edge computing reduces latency by processing data closer,agx,1,12.0,ok,agx,1788521586.2189147,282.008,743.974,1
