activation_estimate_ms,activation_started_timestamp,active_requests,agent_healthy,available,block,completed_requests,concurrency,condition_id,cpu_utilization_percent,deactivation_timestamp,ewma_inference_ms,ewma_tokens_per_second,ewma_ttft_ms,excluded,failed_requests,gpu_measurement_attributable,gpu_memory_total_mib,gpu_memory_used_mib,gpu_memory_utilization_percent,gpu_metrics_reason,gpu_model,gpu_temperature_celsius,gpu_utilization_percent,healthy,idle_seconds,inference_process_rss_mib,inference_ready,inference_worker_running,last_activation,last_deactivation,last_inference_ms,last_request_timestamp,last_tokens_per_second,last_ttft_ms,management_process_rss_mib,management_runtime_running,max_concurrency,model,model_cache_bytes,model_cached,model_digest,node_id,node_state,profile_inference_ms,queue_length,ram_utilization_percent,ready_timestamp,role,rtt_ms,run_order,runtime_running,sampled_node,stage_seconds,state_changed_timestamp,target_node,temperature_celsius,timestamp,within_block_order
0.0,1788521485.037993,1,True,True,1,1,4,b01-o01-agx-c4,5.871,,214.547,128.339,177.509,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.0395359992980957,885.777,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},240.189,1788521584.8401573,128.339,177.509,63.879,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.59,1788521556.8724682,agx,22.98,1,True,agx,12.0,1788521556.8724713,agx,52.0,1788521584.8796933,1
0.0,1788521485.037993,1,True,True,1,6,4,b01-o01-agx-c4,7.429,,199.311,243.121,513.038,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.10585188865661621,886.16,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},192.02,1788521585.8339787,280.053,756.503,63.664,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.547,1788521556.8724682,agx,27.77,1,True,agx,12.0,1788521556.8724713,agx,65.0,1788521585.9398305,1
0.0,1788521485.037993,1,True,True,1,12,4,b01-o01-agx-c4,6.561,,194.948,272.633,698.476,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.011376142501831055,886.426,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},199.709,1788521586.9927838,282.008,743.974,65.73,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.534,1788521556.8724682,agx,24.072,1,True,agx,12.0,1788521556.8724713,agx,60.0,1788521587.00416,1
0.0,1788521485.037993,1,True,True,1,17,4,b01-o01-agx-c4,7.591,,192.416,276.659,713.74,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.13722658157348633,886.617,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},203.152,1788521587.9329505,282.306,728.535,62.746,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.541,1788521556.8724682,agx,37.808,1,True,agx,12.0,1788521556.8724713,agx,61.0,1788521588.070177,1
0.0,1788521485.037993,1,True,True,1,23,4,b01-o01-agx-c4,6.972,,193.543,279.777,749.923,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.051029205322265625,886.762,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},185.394,1788521589.0974357,282.666,763.776,57.84,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.539,1788521556.8724682,agx,27.885,1,True,agx,12.0,1788521556.8724713,agx,61.0,1788521589.148465,1
0.0,1788521485.037993,1,True,True,1,29,4,b01-o01-agx-c4,7.092,,182.312,280.882,713.27,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.022552013397216797,886.812,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},172.776,1788521590.191513,282.676,690.874,64.195,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.545,1788521556.8724682,agx,24.344,1,True,agx,12.0,1788521556.8724713,agx,60.0,1788521590.214065,1
0.0,1788521485.037993,1,True,True,1,34,4,b01-o01-agx-c4,7.14,,187.504,281.354,726.997,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.12808990478515625,886.844,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},185.159,1788521591.1502175,282.815,732.826,65.523,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.539,1788521556.8724682,agx,20.976,1,True,agx,12.0,1788521556.8724713,agx,69.0,1788521591.2783074,1
0.0,1788521485.037993,1,True,True,1,39,4,b01-o01-agx-c4,9.617,,201.409,281.836,746.409,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.1833958625793457,886.879,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},215.201,1788521592.1561368,281.839,788.478,65.129,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.57,1788521556.8724682,agx,25.62,1,True,agx,12.0,1788521556.8724713,agx,75.0,1788521592.3395326,1
0.0,1788521485.037993,1,True,True,1,45,4,b01-o01-agx-c4,7.383,,185.146,281.704,718.451,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.15542912483215332,886.895,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},183.131,1788521593.2497542,282.127,690.607,62.895,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.565,1788521556.8724682,agx,21.414,1,True,agx,12.0,1788521556.8724713,agx,63.0,1788521593.4051833,1
0.0,1788521485.037993,1,True,True,1,51,4,b01-o01-agx-c4,7.397,,191.669,282.596,716.8,False,0,False,,,,dcgm_query_failed,NVIDIA GeForce RTX 5060 Ti,,,True,0.07800459861755371,886.902,True,True,"{'activation_required': True, 'node_state_before': 'COLD', 'node_state': 'ACTIVE', 'activation_started_timestamp': 1788521485.037993, 'ready_timestamp': 1788521556.8724682, 'worker_start_ms': 0.491, 'model_remote_download_ms': 0.0, 'model_load_ms': 71831.933, 'cuda_initialization_ms': None, 'endpoint_ready_ms': 71834.5, 'activation_time_ms': 71834.501, 'model_digest': 'baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878', 'transition': {'timestamp': 1788521556.8724713, 'node': 'agx', 'physical_node': 'etri-ser0001-cg0msb', 'old_state': 'COLD', 'new_state': 'ACTIVE', 'reason': 'x86_gpu_saturation'}}",{},212.288,1788521594.3863993,283.026,734.388,60.621,True,1,llama3.2:1b,1321098329,True,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,etri-ser0001-cg0msb,ACTIVE,206.0,3,11.558,1788521556.8724682,agx,20.713,1,True,agx,12.0,1788521556.8724713,agx,64.0,1788521594.4644039,1
