scenario,concurrency,request_id,timestamp,completed_timestamp,selected_node,physical_node,selection_reason,queue_length,active_requests,cpu_utilization_percent,gpu_utilization_percent,gpu_memory_utilization_percent,ram_utilization_percent,temperature_celsius,ttft_ms,tokens_per_second,rtt_ms,predicted_e2e_ms,actual_e2e_ms,worker_actual_e2e_ms,status,error
static_spark,1,37913c65-2dba-448f-bc03-ca59b1216ee0,1788350273.4621885,1788350273.7308767,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,1.901,0.0,1.806,29.297,38.05,91.02,45.974,3.353,925.291,268.687,267.355,ok,
static_spark,2,3f701057-3912-40a0-a917-dfa89dd44897,1788350275.786756,1788350275.9955416,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,1.708,0.0,1.806,29.311,38.05,32.288,46.032,5.218,763.509,208.784,207.022,ok,
static_spark,2,c1a7d2eb-068c-42f3-968c-add336d74a02,1788350275.8069358,1788350276.2013779,spark,etri-ser0002-cgnmsb,policy:static:spark,0,1,4.348,0.0,1.806,29.313,40.05,216.306,45.933,2.941,1519.523,394.441,392.325,ok,
static_spark,4,50b77236-8a93-4074-8b10-fdf558379bed,1788350278.5268939,1788350278.7369576,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,,0.0,1.806,29.311,40.05,29.991,45.767,15.081,531.775,210.062,207.314,ok,
static_spark,4,41b571fb-dcfd-4e28-b35a-558f6246398d,1788350278.5288434,1788350278.946545,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,0.0,0.0,1.806,29.311,40.05,239.985,45.94,13.704,530.398,417.7,415.803,ok,
static_spark,4,42deb4b8-4a89-4064-b30e-7fc173a75a1d,1788350278.5298793,1788350279.1520827,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,3.141,0.0,1.806,29.311,40.05,446.444,45.97,15.092,531.786,622.202,620.557,ok,
static_spark,4,5dd6d76a-d707-492c-ab50-fbb8bd35ff19,1788350278.5311282,1788350279.3611898,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,0.0,0.0,1.806,29.311,40.05,652.419,45.968,16.121,532.815,830.06,828.608,ok,
static_spark,8,c0249b02-16a4-4461-908d-32a636548019,1788350281.948471,1788350282.157135,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,5.716,0.0,1.806,29.314,38.05,31.794,46.065,4.322,309.891,208.662,206.968,ok,
static_spark,8,4d94d9f2-6994-4340-a6a8-331fd9292938,1788350282.0336409,1788350282.3655515,spark,etri-ser0002-cgnmsb,policy:static:spark,0,1,14.976,0.0,1.806,29.318,50.05,152.737,45.844,3.475,614.613,331.908,329.212,ok,
static_spark,8,0123e854-ae47-4b52-b24e-26fff7fabc1a,1788350282.097924,1788350282.5732903,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,19.632,0.0,1.806,29.318,52.0,295.278,45.919,5.313,922.02,475.364,471.23,ok,
static_spark,8,31dec49f-e1e1-4ad8-afdc-394eeab1612b,1788350282.1074958,1788350282.779328,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,33.333,0.0,1.806,29.318,51.05,493.031,45.666,6.477,923.184,671.83,668.663,ok,
static_spark,8,bd865c9a-8b4f-4862-952c-b323f1e18761,1788350282.1087613,1788350282.984252,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,20.0,0.0,1.806,29.318,51.05,697.314,45.938,8.187,924.894,875.474,873.386,ok,
static_spark,8,b337f2d7-6f83-4dfd-9d77-1fec337a44d3,1788350282.1091595,1788350283.1931908,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,0.0,0.0,1.806,29.318,51.05,907.043,46.071,6.663,923.37,1084.03,1082.185,ok,
static_spark,8,a5d0a49a-0571-4687-b914-fceadbaad3b0,1788350282.110979,1788350283.4032059,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,29.412,0.0,1.806,29.318,52.0,1114.237,45.937,4.529,921.236,1292.226,1290.389,ok,
static_spark,8,79ff3f04-99e9-4cd7-860a-9db50e98de67,1788350282.5050678,1788350283.6118255,spark,etri-ser0002-cgnmsb,policy:static:spark,4,1,18.018,0.0,1.806,29.318,52.05,928.803,46.054,5.426,1581.032,1106.756,1104.182,ok,
static_spark,16,a116fc86-e50e-4b56-a1f2-f610c83000e6,1788350287.048448,1788350287.2909596,spark,etri-ser0002-cgnmsb,policy:static:spark,0,0,6.374,0.0,1.806,29.292,40.0,36.578,45.944,5.862,223.515,242.51,213.066,ok,
static_spark,16,d517d511-2e82-4bfb-94e9-c4dd052cdca4,1788350287.1093357,1788350287.471681,spark,etri-ser0002-cgnmsb,policy:static:spark,0,1,11.957,0.0,1.806,29.293,50.05,184.738,45.865,2.024,437.33,362.344,360.253,ok,
static_spark,16,dff3e6b9-4455-45c5-953d-1191f997a6ad,1788350287.2972867,1788350287.6791246,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,0.0,0.0,1.806,29.292,51.05,201.626,46.031,12.242,665.201,381.836,377.729,ok,
static_spark,16,8d525222-9478-45d1-bc95-9eab6a9eed15,1788350287.299968,1788350287.8990195,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,25.0,0.0,1.806,29.292,51.05,408.377,45.863,11.748,664.707,599.05,596.246,ok,
static_spark,16,454a40b5-a297-40c5-a4a5-b939be110d31,1788350287.302217,1788350288.1043267,spark,etri-ser0002-cgnmsb,policy:static:spark,1,1,17.921,0.0,1.806,29.292,52.0,623.657,46.07,16.124,669.083,802.109,799.621,ok,
static_spark,16,6d7d7f7d-0363-4f2b-b774-b0c1c3bed573,1788350287.3411784,1788350288.3147063,spark,etri-ser0002-cgnmsb,policy:static:spark,3,1,18.803,0.0,1.806,29.294,52.05,794.186,45.95,5.476,1087.991,973.526,969.747,ok,
static_spark,16,1be9baa9-c2d5-4e0a-9151-200851913e33,1788350287.6037354,1788350288.5218558,spark,etri-ser0002-cgnmsb,policy:static:spark,3,1,50.0,0.0,1.806,29.294,53.05,738.244,45.916,6.967,1077.812,918.118,914.705,ok,
static_spark,16,5709f943-f330-45f1-8045-b8f1fba06c4b,1788350287.6077456,1788350288.7312186,spark,etri-ser0002-cgnmsb,policy:static:spark,3,1,18.667,0.0,1.806,29.294,53.05,945.119,46.087,7.769,1078.614,1123.472,1120.703,ok,
static_spark,16,3f3651b3-94a0-4529-8ec3-944a52d83397,1788350287.6126997,1788350288.9401932,spark,etri-ser0002-cgnmsb,policy:static:spark,3,1,,0.0,1.806,29.294,52.05,1150.721,45.921,8.76,1079.605,1327.492,1325.124,ok,
static_spark,16,1f853c39-95da-4d69-9659-d41b54d5e453,1788350287.614698,1788350289.1456766,spark,etri-ser0002-cgnmsb,policy:static:spark,3,1,22.222,0.0,1.806,29.294,52.05,1352.543,46.124,8.723,1079.568,1530.977,1528.203,ok,
